depth,sand,event index,median_age,min_age,max_age,data_site
0.5,156.3000,0,,,,Laguna Playa Grande
1.5,167.9000,0,,,,Laguna Playa Grande
2.5,200.5000,1,,,,Laguna Playa Grande
3.5,182.7000,0,,,,Laguna Playa Grande
4.5,159.1000,0,,,,Laguna Playa Grande
5.5,160.0000,0,,,,Laguna Playa Grande
6.5,157.4000,0,,,,Laguna Playa Grande
7.5,155.1000,0,,,,Laguna Playa Grande
8.5,151.2000,0,,,,Laguna Playa Grande
9.5,152.1000,0,,,,Laguna Playa Grande
10.5,165.3000,0,,,,Laguna Playa Grande
11.5,287.2000,1,,,,Laguna Playa Grande
12.5,201.8000,0,,,,Laguna Playa Grande
13.5,147.7000,0,,,,Laguna Playa Grande
14.5,119.3000,0,,,,Laguna Playa Grande
15.5,46.8000,0,,,,Laguna Playa Grande
16.5,31.3000,0,,,,Laguna Playa Grande
17.5,40.3000,0,,,,Laguna Playa Grande
18.5,31.5000,0,,,,Laguna Playa Grande
19.5,30.5000,0,,,,Laguna Playa Grande
20.5,68.1000,0,,,,Laguna Playa Grande
21.5,81.4000,0,,,,Laguna Playa Grande
22.5,149.3000,1,,,,Laguna Playa Grande
23.5,126.7000,0,,,,Laguna Playa Grande
24.5,67.3000,0,,,,Laguna Playa Grande
25.5,49.3000,0,,,,Laguna Playa Grande
26.5,56.0000,0,,,,Laguna Playa Grande
27.5,56.0000,0,,,,Laguna Playa Grande
28.5,59.4000,0,,,,Laguna Playa Grande
29.5,68.6000,0,,,,Laguna Playa Grande
30.5,70.5000,0,,,,Laguna Playa Grande
31.5,48.5000,0,,,,Laguna Playa Grande
32.5,50.8000,0,,,,Laguna Playa Grande
33.5,70.1000,0,,,,Laguna Playa Grande
34.5,51.9000,0,,,,Laguna Playa Grande
35.5,89.6000,1,,,,Laguna Playa Grande
36.5,73.6000,0,,,,Laguna Playa Grande
37.5,52.2000,0,,,,Laguna Playa Grande
38.5,74.9000,1,,,,Laguna Playa Grande
39.5,46.1000,0,,,,Laguna Playa Grande
40.5,61.3000,0,,,,Laguna Playa Grande
41.5,40.4000,0,,,,Laguna Playa Grande
42.5,51.3000,0,,,,Laguna Playa Grande
43.5,80.5000,1,,,,Laguna Playa Grande
44.5,66.6000,0,,,,Laguna Playa Grande
45.5,66.5000,0,,,,Laguna Playa Grande
46.5,69.4000,0,,,,Laguna Playa Grande
47.5,65.9000,0,,,,Laguna Playa Grande
48.5,67.1000,0,,,,Laguna Playa Grande
49.5,78.8000,1,,,,Laguna Playa Grande
50.5,75.8000,0,,,,Laguna Playa Grande
51.5,58.2000,0,,,,Laguna Playa Grande
52.5,47.7000,0,,,,Laguna Playa Grande
53.5,61.8000,1,,,,Laguna Playa Grande
54.5,59.1000,0,,,,Laguna Playa Grande
55.5,57.5000,0,,,,Laguna Playa Grande
56.5,48.9000,0,,,,Laguna Playa Grande
57.5,51.1000,0,,,,Laguna Playa Grande
58.5,42.5000,0,,,,Laguna Playa Grande
59.5,45.6000,0,,,,Laguna Playa Grande
60.5,52.9000,0,,,,Laguna Playa Grande
61.5,54.1000,0,,,,Laguna Playa Grande
62.5,49.6000,0,,,,Laguna Playa Grande
63.5,47.5000,0,,,,Laguna Playa Grande
64.5,56.3000,0,,,,Laguna Playa Grande
65.5,49.2000,0,,,,Laguna Playa Grande
66.5,39.4000,0,,,,Laguna Playa Grande
67.5,35.9000,0,,,,Laguna Playa Grande
68.5,28.7000,0,,,,Laguna Playa Grande
69.5,33.8000,0,,,,Laguna Playa Grande
70.5,37.1000,0,,,,Laguna Playa Grande
71.5,40.4000,0,,,,Laguna Playa Grande
72.5,44.0000,0,,,,Laguna Playa Grande
73.5,43.4000,0,,,,Laguna Playa Grande
74.5,38.0000,0,,,,Laguna Playa Grande
75.5,43.2000,0,,,,Laguna Playa Grande
76.5,42.6000,0,,,,Laguna Playa Grande
77.5,35.3000,0,,,,Laguna Playa Grande
78.5,36.0000,0,,,,Laguna Playa Grande
79.5,36.4000,0,,,,Laguna Playa Grande
80.5,30.5000,0,,,,Laguna Playa Grande
81.5,38.9000,0,,,,Laguna Playa Grande
82.5,38.0000,0,,,,Laguna Playa Grande
83.5,38.7000,0,,,,Laguna Playa Grande
84.5,41.2000,0,,,,Laguna Playa Grande
85.5,65.6000,0,,,,Laguna Playa Grande
86.5,85.7000,0,,,,Laguna Playa Grande
87.5,104.7000,1,,,,Laguna Playa Grande
88.5,95.2000,0,,,,Laguna Playa Grande
89.5,39.9000,0,,,,Laguna Playa Grande
90.5,40.3000,0,,,,Laguna Playa Grande
91.5,45.0000,0,,,,Laguna Playa Grande
92.5,52.3000,0,,,,Laguna Playa Grande
93.5,53.0000,0,,,,Laguna Playa Grande
94.5,39.3000,0,,,,Laguna Playa Grande
95.5,39.1000,0,,,,Laguna Playa Grande
96.5,41.6000,0,,,,Laguna Playa Grande
97.5,31.5000,0,,,,Laguna Playa Grande
98.5,33.5000,0,,,,Laguna Playa Grande
99.5,42.4000,0,,,,Laguna Playa Grande
100.5,36.6000,0,,,,Laguna Playa Grande
101.5,35.6000,0,,,,Laguna Playa Grande
102.5,49.7000,0,,,,Laguna Playa Grande
103.5,40.4000,0,,,,Laguna Playa Grande
104.5,57.8000,0,,,,Laguna Playa Grande
105.5,43.0000,0,,,,Laguna Playa Grande
106.5,40.3000,0,,,,Laguna Playa Grande
107.5,59.7000,0,,,,Laguna Playa Grande
108.5,41.5000,0,,,,Laguna Playa Grande
109.5,37.0000,0,,,,Laguna Playa Grande
110.5,35.7000,0,,,,Laguna Playa Grande
111.5,39.0000,0,,,,Laguna Playa Grande
112.5,38.5000,0,,,,Laguna Playa Grande
113.5,40.7000,0,,,,Laguna Playa Grande
114.5,38.6000,0,,,,Laguna Playa Grande
115.5,37.1000,0,,,,Laguna Playa Grande
116.5,42.7000,0,,,,Laguna Playa Grande
117.5,33.3000,0,,,,Laguna Playa Grande
118.5,37.2000,0,,,,Laguna Playa Grande
119.5,39.7000,0,,,,Laguna Playa Grande
120.5,41.6000,0,,,,Laguna Playa Grande
121.5,44.0000,0,,,,Laguna Playa Grande
122.5,38.7000,0,,,,Laguna Playa Grande
123.5,40.3000,0,,,,Laguna Playa Grande
124.5,40.4000,0,,,,Laguna Playa Grande
125.5,41.0000,0,,,,Laguna Playa Grande
126.5,42.9000,0,,,,Laguna Playa Grande
127.5,59.0000,0,,,,Laguna Playa Grande
128.5,38.9000,0,,,,Laguna Playa Grande
129.5,43.4000,0,,,,Laguna Playa Grande
130.5,41.9000,0,,,,Laguna Playa Grande
131.5,41.4000,0,,,,Laguna Playa Grande
132.5,42.8000,0,,,,Laguna Playa Grande
133.5,39.4000,0,,,,Laguna Playa Grande
134.5,44.0000,0,,,,Laguna Playa Grande
135.5,44.4000,0,,,,Laguna Playa Grande
136.5,49.5000,0,,,,Laguna Playa Grande
137.5,54.5000,0,,,,Laguna Playa Grande
138.5,55.8000,0,,,,Laguna Playa Grande
139.5,54.1000,0,,,,Laguna Playa Grande
140.5,43.9000,0,,,,Laguna Playa Grande
141.5,64.8000,0,,,,Laguna Playa Grande
142.5,76.9000,1,,,,Laguna Playa Grande
143.5,67.1000,0,,,,Laguna Playa Grande
144.5,95.7000,1,,,,Laguna Playa Grande
145.5,64.1000,0,,,,Laguna Playa Grande
146.5,33.9000,0,,,,Laguna Playa Grande
147.5,38.6000,0,,,,Laguna Playa Grande
148.5,39.4000,0,,,,Laguna Playa Grande
149.5,40.6000,0,,,,Laguna Playa Grande
150.5,35.6000,0,,,,Laguna Playa Grande
151.5,33.5000,0,,,,Laguna Playa Grande
152.5,40.7000,0,,,,Laguna Playa Grande
153.5,37.7000,0,,,,Laguna Playa Grande
154.5,60.6000,0,,,,Laguna Playa Grande
155.5,86.5000,1,,,,Laguna Playa Grande
156.5,75.6000,0,,,,Laguna Playa Grande
157.5,68.8000,0,,,,Laguna Playa Grande
158.5,53.3000,0,,,,Laguna Playa Grande
159.5,39.4000,0,,,,Laguna Playa Grande
160.5,89.2000,1,,,,Laguna Playa Grande
161.5,68.7000,0,,,,Laguna Playa Grande
162.5,62.8000,0,,,,Laguna Playa Grande
