depth,sand,event index,median_age,min_age,max_age,data_site
0.5,0.941,0,2006.80,2006.7,2007,Basin Bayou2
1.5,0.2828,0,2004.50,2004.1,2004.9,Basin Bayou2
2.5,1.5339,0,2002.10,2001.4,2002.9,Basin Bayou2
3.5,0.9503,0,1999.70,1998.8,2000.8,Basin Bayou2
4.5,0.4478,0,1997.40,1996.2,1998.8,Basin Bayou2
5.5,0,0,1995.00,1993.5,1996.7,Basin Bayou2
6.5,0.6258,0,1992.60,1990.9,1994.7,Basin Bayou2
7.5,0.1755,0,1990.30,1988.3,1992.6,Basin Bayou2
8.5,0.2796,0,1987.90,1985.6,1990.6,Basin Bayou2
9.5,0.0547,0,1985.60,1983,1988.6,Basin Bayou2
10.5,0.1687,0,1983.20,1980.4,1986.5,Basin Bayou2
11.5,0.343,0,1980.80,1977.7,1984.5,Basin Bayou2
12.5,0.496,0,1978.50,1975.1,1982.4,Basin Bayou2
13.5,0.3994,0,1976.10,1972.5,1980.4,Basin Bayou2
14.5,0.7426,0,1973.70,1969.8,1978.3,Basin Bayou2
15.5,1.2881,0,1971.40,1967.2,1976.3,Basin Bayou2
16.5,5.669,0,1969.00,1964.6,1974.2,Basin Bayou2
17.5,2.6112,0,1966.60,1961.9,1972.2,Basin Bayou2
18.5,4.2356,0,1964.30,1959.3,1970.1,Basin Bayou2
19.5,9.1253,0,1961.00,1956.5,1966.2,Basin Bayou2
20.5,4.1259,0,1958.90,1955,1963.3,Basin Bayou2
21.5,0.6551,1,1958.90,1955,1963.3,Basin Bayou2
22.5,1.678,0,1956.80,1952.3,1961.9,Basin Bayou2
23.5,1.3191,0,1952.90,1945.9,1959.4,Basin Bayou2
24.5,1.5886,0,1949.40,1937,1958.1,Basin Bayou2
25.5,2.4663,0,1945.70,1929.3,1956.6,Basin Bayou2
26.5,3.0941,0,1942.00,1923,1954.8,Basin Bayou2
27.5,9.7561,0,1940.10,1919,1954.3,Basin Bayou2
28.5,7.9885,1,1940.10,1919,1954.3,Basin Bayou2
29.5,2.4082,0,1938.20,1916.7,1953,Basin Bayou2
30.5,1.7227,0,1934.40,1911.2,1950.8,Basin Bayou2
31.5,1.8489,0,1930.60,1906,1948.5,Basin Bayou2
32.5,2.728,0,1926.70,1901,1945.9,Basin Bayou2
33.5,3.3026,0,1922.90,1896.3,1943.2,Basin Bayou2
34.5,7.3374,0,1919.10,1891.7,1940.5,Basin Bayou2
